Target,Feature,Coefficient,t_stat,p_value,VIP,Significant (p<0.05),R_squared
C1,Repository Age (Days),0.0003306270600937,0.3918683528126399,0.6953227856672559,0.2588975773870224,False,0.0606954845429628
C1,Contributor Count,-0.0037029376873215,-1.4615863848606607,0.1444840146603079,0.4909084101302605,False,0.0606954845429628
C1,Commit Frequency,-0.0017442831053335,-0.5615460455843766,0.5746774563095376,0.1751150521493168,False,0.0606954845429628
C1,Average PR Size,0.0002002352651158,0.0538539164112931,0.957073106109301,0.1497307726100812,False,0.0606954845429628
C1,Single-author Ratio,0.0001549329696871,0.2779705985123868,0.7811500637749016,0.3059843763831781,False,0.0606954845429628
C1,Cyclomatic Complexity,0.0125168912217746,1.82564405365265,0.0685014092575766,0.8474786089936389,False,0.0606954845429628
C1,Duplicate Code Ratio (%),0.0021359358120812,1.086807279754188,0.2776466834660311,1.3724266390170503,False,0.0606954845429628
C1,Lines per Function,-0.0246228369060993,-3.0952132838140614,0.0020771830276105,0.8710369159824771,True,0.0606954845429628
C1,Comment Density (%),0.0028222121800955,1.3920482552686937,0.1645278782692898,1.3014610355881282,False,0.0606954845429628
C1,代码类型_AI,-9.276734741822096e-05,-0.7461424181389351,0.4559327447700396,0.2123085104178497,False,0.0606954845429628
C1,代码类型_Human,9.276734741822096e-05,0.7461424181389352,0.4559327447700392,0.2123085104178497,False,0.0606954845429628
C1,项目分组_中型,0.0006022077743786,3.608621551460988,0.0003388733645119,0.8565428100849414,True,0.0606954845429628
C1,项目分组_中小型,-8.2330172862589e-05,-0.9221134480334652,0.3569150185385497,0.5123296260511657,False,0.0606954845429628
C1,项目分组_大型,0.0008605778324499,4.880021774882442,1.4294823793559177e-06,1.414426314485699,True,0.0606954845429628
C1,项目分组_小型,-0.000603229116651,-3.8397808750911206,0.0001389904467588,1.263813769680705,True,0.0606954845429628
C1,语言_java,-0.0002406331515978,-2.415682823954509,0.0160639470401462,0.3268186686191693,True,0.0606954845429628
C1,语言_js,0.0006454536115887,2.9682917314851776,0.0031385192484498,1.049051605623526,True,0.0606954845429628
C1,语言_py,0.0008003877174628,7.564274612628403,1.8895995879120167e-13,1.7638088607608011,True,0.0606954845429628
C1,语言_ts,-0.0014498035285149,-17.221454213103613,0.0,2.895649399563424,True,0.0606954845429628
C1,代码×项目_AI×中型,-0.0001982881151351,-0.8077134134405692,0.419640438058841,0.31325027683033,False,0.0606954845429628
C1,代码×项目_AI×中小型,-6.950203840841183e-05,-0.6195766526476388,0.5358193307185741,0.4598912521262893,False,0.0606954845429628
C1,代码×项目_AI×大型,0.0002647622679516,1.2772538080455778,0.2021066191301734,0.5564714418811502,False,0.0606954845429628
C1,代码×项目_AI×小型,-5.5390474978349387e-05,-0.3069310725469488,0.7590238774005562,0.3711753873600663,False,0.0606954845429628
